h_1171,theta_1171,h_1170,theta_1170,h_1168,theta_1168,h_1133,theta_1133
39.7,0.437681466,39.2,0.528921954,38.15,0.398955885,35.25,0.493028634
39.75,0.437255518,39.25,0.528538803,38.25,0.398547244,35.35,0.492604672
39.8,0.436907015,39.35,0.528155652,38.25,0.398097739,35.5,0.492373421
39.9,0.436403621,39.45,0.527772502,38.45,0.397648234,35.35,0.492026543
39.9,0.435977672,39.5,0.527424183,38.5,0.397239594,35.55,0.491718207
39.85,0.435629169,39.6,0.527006201,38.6,0.396830953,35.75,0.49137133
39.95,0.435125775,39.5,0.52662305,38.6,0.396422312,35.65,0.491024452
39.95,0.434738549,39.7,0.5262399,38.65,0.396013672,35.85,0.490677575
39.95,0.434390046,39.75,0.525856749,38.75,0.395564167,34.65,0.490369239
40,0.433925375,39.6,0.525438767,38.8,0.395155526,33.45,0.48998382
40.05,0.433421981,39.8,0.525090448,38.9,0.394706022,34,0.489714026
40.1,0.433073478,39.8,0.524637634,39.05,0.394297381,34.7,0.489328606
40,0.432724975,39.9,0.524289315,39.05,0.393847876,35.15,0.489097355
40.1,0.432337749,39.95,0.523871332,39.15,0.393398371,35.35,0.488750477
40.15,0.431873078,39.9,0.523488182,39.3,0.393030595,35.7,0.4884036
40.1,0.431447129,39.95,0.523070199,39.4,0.392621954,35.8,0.488056722
40.15,0.431021181,40.1,0.522721881,39.65,0.392213314,35.95,0.487748387
40.15,0.430672677,40.2,0.52233873,39.6,0.391763809,36.05,0.487440051
40.1,0.430169283,40.3,0.521990411,39.3,0.391355168,36.1,0.487016089
40.1,0.429782058,40.35,0.521607261,39.65,0.390946527,36.25,0.486784838
40.15,0.429317386,40.45,0.52122411,39.8,0.390456159,36.35,0.48643796
40.25,0.428891438,40.5,0.52084096,39.9,0.390088382,36.4,0.486091083
40.25,0.428465489,40.5,0.520422977,40,0.389638877,36.3,0.485744205
40.25,0.428039541,40.6,0.520039827,40.05,0.389230237,36.1,0.485474411
40.3,0.427613592,40.65,0.519656676,40.15,0.388780732,36.35,0.485088992
40.3,0.427148921,40.75,0.519238694,40.25,0.388331227,36.55,0.484780656
40.35,0.426722973,40.75,0.518855543,40.35,0.387922586,36.65,0.484433779
40.4,0.426258302,40.9,0.518402729,40.35,0.387432218,36.7,0.484086901
40.4,0.42579363,40.9,0.517984746,40.45,0.387023577,36.75,0.483778566
40.45,0.425328959,41,0.517566764,40.45,0.386574072,35.4,0.483393146
40.5,0.424864288,41.1,0.517183613,40.65,0.386124568,36.25,0.48308481
40.55,0.424399617,41.1,0.516800463,40.65,0.385675063,36.7,0.482699391
40.65,0.423934946,41.2,0.516347648,40.75,0.385225558,36.85,0.482352513
40.7,0.42339283,41.3,0.515894834,40.8,0.384694325,36.9,0.482005636
40.7,0.422928159,41.35,0.515511683,40.9,0.38424482,37.05,0.481658758
40.75,0.422463488,41.4,0.515058869,40.95,0.383795316,37,0.481311881
40.8,0.421998816,41.45,0.514640887,41.05,0.383264083,37.1,0.480887919
40.85,0.421534145,41.5,0.514153241,41.2,0.382814578,37.15,0.480579584
40.95,0.421030752,41.6,0.513700426,41.2,0.382324209,37.35,0.480271248
41,0.420527358,41.6,0.513282444,41.25,0.381792976,37.4,0.479924371
41.05,0.419985242,41.65,0.512794798,41.4,0.381343472,37.45,0.479577493
41.1,0.41952057,41.7,0.512376815,41.5,0.380771375,37.55,0.479230615
41.1,0.419017177,41.75,0.511854337,41.6,0.38032187,37.6,0.478883738
