h_1277,theta_1277,h_1278,theta_1278,h_1279,theta_1279,h_1280,theta_1280,h_1281,theta_1281,h_1282,theta_1282,h_1283,theta_1283,h_1284,theta_1284
14.83,0.503661381,19.49,0.486199083,21.245,0.456670823,13.735,0.464401746,11.85,0.480743953,12.3,0.463132542,16.69,0.460389105,9.915,0.447078602
15.04,0.503585132,19.515,0.48589733,21.205,0.456520553,14.005,0.464051606,12.005,0.480431554,12.535,0.462936399,16.85,0.460195778,10.105,0.446922826
15.25,0.503280137,19.645,0.485671016,21.52,0.45580677,14.15,0.463740371,12.09,0.480197254,12.555,0.462622571,17.045,0.460002451,10.345,0.446689161
15.25,0.502975141,20.165,0.485520139,21.815,0.455694067,14.365,0.463506945,12.26,0.479884854,12.835,0.462347971,17.24,0.459654462,10.545,0.446494441
15.43,0.502898893,19.99,0.485142948,22.195,0.4556565,14.59,0.46319571,12.37,0.479650555,12.82,0.462112599,17.355,0.45942247,10.75,0.44629972
15.615,0.502555773,20.6,0.484916634,22.98,0.454830014,14.745,0.463001188,12.49,0.479338155,13.1,0.461798771,17.575,0.459074481,11.01,0.446066055
15.53,0.502250778,20.225,0.484614881,23.18,0.454830014,15,0.462689953,12.655,0.479064805,13.245,0.461602628,17.725,0.458958485,11.175,0.445910279
15.93,0.502060156,20.735,0.484426286,23.19,0.453364881,15.13,0.462495431,12.72,0.478908605,13.295,0.461328028,17.91,0.458687827,11.425,0.445676614
15.87,0.501678912,21.215,0.484199971,22.975,0.453289746,15.34,0.4622231,12.875,0.478557156,13.565,0.461131885,18.1,0.458378504,11.625,0.445481893
16.075,0.501640788,21.34,0.483860499,23.49,0.453364881,15.6,0.461911865,13.03,0.478361906,13.67,0.460935742,18.225,0.458223842,11.86,0.445326117
16.21,0.501259544,21.6,0.483709623,23.655,0.452838935,15.76,0.461678438,13.09,0.478166656,13.75,0.460621914,18.345,0.457953184,12.065,0.445092452
16.235,0.500992673,21.88,0.483445589,23.215,0.452989205,15.945,0.461483916,13.225,0.477815207,14.025,0.460347314,18.54,0.457605195,12.26,0.444858787
16.52,0.500840175,21.83,0.483219275,23.88,0.45231299,16.185,0.461094872,13.36,0.477659007,14.115,0.460072713,18.74,0.457450534,12.475,0.444703011
16.595,0.50053518,22.245,0.483030679,23.695,0.452125152,16.325,0.460861446,13.465,0.477307557,14.2,0.459837342,18.925,0.457257207,12.71,0.444469346
16.63,0.500230185,22.315,0.482728926,23.86,0.451486504,16.54,0.460550211,13.67,0.477034208,14.455,0.459484285,18.89,0.456909218,12.9,0.444313569
16.865,0.500115812,22.35,0.482502612,22.765,0.451373802,16.49,0.46027788,13.76,0.476760858,14.53,0.459366599,17.73,0.456715891,13.14,0.444118849
16.875,0.499848941,22.895,0.482276297,24.39,0.450960559,16.605,0.460122263,13.85,0.476643708,14.62,0.459131228,18.885,0.456522564,13.385,0.443924128
16.915,0.49958207,23.04,0.482012264,23.95,0.450697586,16.4,0.459811027,14.035,0.476331309,14.9,0.458778171,18.905,0.45621324,13.58,0.443690463
17.18,0.499391448,23.18,0.481823668,24.775,0.450547316,16.77,0.459538697,14.165,0.476097009,14.94,0.458621256,18.955,0.456097244,13.815,0.443534687
17.27,0.499162702,23.37,0.481559635,26.23,0.449345156,17.09,0.459421983,14.265,0.475862709,15.065,0.458307428,18.375,0.455749256,14.06,0.443301022
17.275,0.498895831,23.52,0.48133332,25.815,0.449157318,17.3,0.459071844,14.435,0.47558936,15.32,0.458111285,19.03,0.455478598,14.265,0.443145245
17.51,0.498743334,23.62,0.481031567,26.7,0.448931913,17.415,0.458877322,14.55,0.47527696,15.32,0.457915142,19.15,0.455362601,14.515,0.442989469
17.575,0.498438338,23.995,0.480956129,26.495,0.44851867,17.68,0.458643896,14.655,0.47508171,15.475,0.457601313,15.47,0.455053278,14.69,0.442755804
17.675,0.498171468,23.84,0.480654376,26.8,0.448293265,17.83,0.45833266,14.835,0.474730261,15.465,0.45740517,17.71,0.454859951,14.935,0.442600028
17.78,0.497980846,24.245,0.480390343,27.38,0.448030292,17.97,0.458138138,14.925,0.474613111,15.545,0.45713057,18.705,0.454705289,15.195,0.442405307
